,retail,period,area,kod_retail,group,kod_sku,weight,brand,quantity,purchase_price,sales_price,total_purchase,total_sales,profit
135,1,3,saint petersburg,1127,вафли,3743049,40,5,47,10.68404255,17.6212766,502.14999985,828.2000002000001,326.0500003500001
136,1,3,saint petersburg,1127,вафли,3774152,39,6,246,36.33166667,45.46825203,8937.590000819999,11185.18999938,2247.599998560001
137,1,3,saint petersburg,1127,вафли,4116685,43,6,169,35.53751479,47.17017751,6005.839999510001,7971.759999190001,1965.9199996799998
138,1,3,saint petersburg,1127,вафли,4164638,180,2,103,33.51883495,42.17106796,3452.43999985,4343.61999988,891.1800000300004
139,1,3,saint petersburg,1127,торты  вафельные,214685,320,11,113,91.26557522,132.9007965,10313.00999986,15017.7900045,4704.780004640001
140,1,3,saint petersburg,1127,торты  вафельные,3523266,250,14,87,54.6537931,86.00988506,4754.879999700001,7482.86000022,2727.9800005199995
141,1,3,saint petersburg,1129,вафли мягкие,3335240,100,17,95,16.26894737,32.68757895,1545.55000015,3105.3200002500002,1559.7700001000003
142,1,3,saint petersburg,1129,вафли,124647,220,5,69,30.34855072,50.26681159,2094.04999968,3468.40999971,1374.3600000300003
143,1,3,saint petersburg,1129,вафли,3123905,150,10,82,27.01634146,40.01109756,2215.33999972,3280.9099999200002,1065.5700002000003
144,1,3,saint petersburg,1129,вафли,3264877,290,13,111,41.19594595,52.86900901,4572.750000450001,5868.46000011,1295.709999659999
145,1,3,saint petersburg,1129,вафли,3391397,190,13,57,27.95105263,49.33017544,1593.20999991,2811.8200000799998,1218.6100001699997
146,1,3,saint petersburg,1129,вафли,3552637,300,13,73,31.62,56.76328767,2308.26,4143.719999909999,1835.4599999099992
147,1,3,saint petersburg,1129,вафли,3556408,220,5,74,33.07675676,51.02959459,2447.68000024,3776.18999966,1328.50999942
148,1,3,saint petersburg,1129,вафли,3774152,39,6,77,35.62727273,48.70038961,2743.3000002100002,3749.92999997,1006.6299997599999
149,1,3,saint petersburg,1129,вафли,4116685,43,6,116,34.43431034,35.96163793,3994.3799994400006,4171.5499998800005,177.17000043999997
150,1,3,saint petersburg,1129,торты  вафельные,214685,320,11,67,94.32313433,135.4861194,6319.65000011,9077.5699998,2757.9199996899997
151,1,3,samara region,1015,вафли мягкие,3335226,150,17,68,21.31544118,38.71955882,1449.45000024,2632.92999976,1183.47999952
152,1,3,samara region,1015,вафли мягкие,3335231,140,17,73,18.68178082,35.5709589,1363.76999986,2596.6799997000003,1232.9099998400002
153,1,3,samara region,1015,вафли мягкие,3335242,100,17,48,15.79625,33.75229167,758.22,1620.1100001599998,861.8900001599998
154,1,3,samara region,1015,вафли,124647,220,5,64,30.63359375,54.1909375,1960.55,3468.22,1507.6699999999998
155,1,3,samara region,1015,вафли,125299,220,5,106,30.46603774,48.76103774,3229.40000044,5168.67000044,1939.27
156,1,3,samara region,1015,вафли,3264877,290,13,58,40.351206899999994,59.36913793,2340.3700001999996,3443.40999994,1103.0399997400004
157,1,3,samara region,1015,вафли,3391397,190,13,47,26.49170213,50.10085106,1245.11000011,2354.73999982,1109.6299997099998
158,1,3,samara region,1015,вафли,3500071,220,5,63,33.51412698,51.99063492,2111.38999974,3275.40999996,1164.02000022
159,1,3,samara region,1015,вафли,3730860,300,10,67,44.40164179,70.53194029999999,2974.90999993,4725.640000099999,1750.7300001699991
160,1,3,samara region,1015,вафли,4164637,180,2,86,26.46465116,41.94825581,2275.95999976,3607.54999966,1331.5899999000003
161,1,3,samara region,1015,вафли,4164638,180,2,55,27.01654545,41.04072727,1485.90999975,2257.23999985,771.3300001
162,1,3,samara region,1015,вафли,4196107,22,8,203,21.66,42.3755665,4396.9800000000005,8602.2399995,4205.259999499999
163,1,3,samara region,1015,вафли,4219438,160,,46,33.87804348,50.72239129999999,1558.3900000800002,2333.2299997999994,774.8399997199992
164,1,3,samara region,1148,вафли,124647,220,5,57,30.59245614,52.77421053,1743.76999998,3008.1300002099997,1264.3600002299997
165,1,3,samara region,1148,вафли,3264878,290,13,49,35.9455102,55.41061224,1761.3299998,2715.11999976,953.7899999600002
166,1,3,samara region,1148,вафли,3796828,150,10,72,24.13458333,37.59888889,1737.68999976,2707.12000008,969.4300003199999
167,1,3,samara region,1157,вафли мягкие,3335231,140,17,49,20.48816327,43.327755100000005,1003.92000023,2123.0599999,1119.1399996700002
168,1,3,samara region,1157,вафли,124647,220,5,66,30.88969697,51.74090909,2038.72000002,3414.8999999400003,1376.1799999200002
169,1,3,samara region,1157,вафли,125299,220,5,89,30.62078652,47.04685393,2725.2500002799998,4187.16999977,1461.91999949
170,1,3,samara region,1157,вафли,2250092,200,13,115,27.07626087,45.97434783,3113.77000005,5287.05000045,2173.2800004
171,1,3,samara region,1157,вафли,3123905,150,10,82,25.534756100000003,35.19585366,2093.8500002,2886.0600001199996,792.2099999199995
172,1,3,samara region,1157,вафли,3264878,290,13,77,33.73454545,51.14714286,2597.55999965,3938.3300002200003,1340.7700005700003
173,1,3,samara region,1157,вафли,3460845,50,10,54,11.21018519,20.08888889,605.35000026,1084.80000006,479.4499998
